🔥世界杯,#genre#
抖音世界杯,https://pull-spe-l3.douyincdn.com/fantasy/stream-112002057447932598_spuhd.flv?_neptune_token=MIGoBAy6W2fsshiAp0_JQ5EEgYXLK4Eu6EFuIozhlrqnXGROTrxUH3GUg-wbEWKde57ZppgyzkrImnYSXaJ7FMvD7vehX9WkYCABTVIg3YDL9QFZIVVWZuovXBWplHH1j46_KkhqGEKx-_i4I_K6vuTTiMZpdTvatyGEOLUk5uHODBHauF0UQDiVRLbfxyJeVcxsh1GHBNmABBDiJfflXU19evGtfXyUlmKa&auth_key=1669117294-0-0-039754ce2178565d183a7d2bd43dd5de&abr_pts=-1800



世界杯备用1,https://cdn.hklive.tv/xxxx/99/index.m3u8


世界杯备用2,http://hls.szsummer.cn/live/507627/playlist.m3u8?k=2a74eab6335829de25ab02f0e7f12220&t=1819702363

世界杯备用3,https://pull-flv-spe-l1.douyinliving.com/fantasy/stream-400229723134755510_uhd.flv?_neptune_token=MIGXBAxQQsJuZ1R3CAgrhTcEdY095lDgfL5CQEQCXJsDf0yKpcpfgj_TKPNLTtYRFNuFD8_QuAGF2plU2zLUK9bLlVn6YmavpCzrKDCHRTqmuS4dVQbGeTIXGe2yqgW9mkdbDnJbCegKV9uEFsuqHrbmMWzq7cgVcaw5-awHCgEBH5mQ5IPnwAQQbo_3lN1a7n8Fy14DPvmNDg&keeptime=00015180&wsSecret=4486199bd407959f7fa0d59700c37732&wsTime=637b816c&abr_pts=-1800

咪咕高清,http://39.135.134.67/000000001000/3000000001000028638/index.m3u8
CCTV-16,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv16/1.m3u8
CCTV-5,http://219.151.31.37/liveplay-kk.rtxapp.com/live/program/live/cctv5hd/2300000/mnf.m3u8




CCTV16(4K),http://111.20.105.192:6610/000000001000/5000000008000023254/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT451920221120173908002837&channel-id=bestzb&Contentid=5000000008000023254


CCTV-5,http://live.cooltv.top/tv/aishang.php?id=cctv5hd



CCTV-5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225751/index.m3u8?
CCTV-5,http://39.135.138.58:18890/PLTV/88888888/224/3221225633/index.m3u8?
CCTV-5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225753/index.m3u8?
CCTV-5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225752/index.m3u8?
CCTV-5,http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8?
CCTV-5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8?
CCTV-5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8?
CCTV-5+,http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8?
CCTV-5+,http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8?
CCTV-5+,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8?
CCTV-5+,http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8?
CCTV-5+,http://39.134.116.30:8080/PLTV/88888910/224/3221225649/index.m3u8?
CCTV-5+,http://39.134.116.30:8080/PLTV/88888910/224/3221225706/index.m3u8?
CCTV-5+,http://39.135.138.60:18890/PLTV/88888910/224/3221225706/index.m3u8?
CCTV-5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225754/index.m3u8?
CCTV-5,http://39.135.138.59:18890/PLTV/88888910/224/3221225648/index.m3u8?
CCTV-5+,http://39.135.138.58:18890/PLTV/88888888/224/3221225706/index.m3u8?
CCTV-5+,http://39.135.138.59:18890/TVOD/88888910/224/3221225706/index.m3u8?



CCTV-5,http://39.135.138.60:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+,http://39.135.138.59:18890/PLTV/88888888/224/3221225706/index.m3u8
CCTV-5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+,http://ottrrs.hl.chinamobile.com:80/PLTV/88888888/224/3221225603/index.m3u8
CCTV-5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/ndex.m3u8
CCTV-5+FHD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV-5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225780/index.m3u8
CCTV-5,http://39.134.116.30:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5,http://153.35.100.112/liveplay-kk.rtxapp.com/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV-5+,http://153.35.100.112/liveplay-kk.rtxapp.com/live/program/live/cctv5phd/4000000/mnf.m3u8
CCTV-5HD,http://39.135.138.58:18890/ysten-businessmobile/live/cctv-5/1.m3u8
CCTV-5HD,http://39.135.138.58:18890/ysten-businessmobile/live/HD-8000k-1080P-cctv5/1.m3u8
CCTV-5+HD,http://39.135.138.58:18890/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV-5+HD,http://123.6.9.146/live/jz-cctv-5-plus/live.m3u8
CCTV-5+HD,http://39.135.138.58:18890/ysten-businessmobile/live/HD-8000k-1080P-cctv05plus/1.m3u8
CCTV-5,http://183.207.248.37/PLTV/3/224/3221227166/1.m3u8
CCTV-5+,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8
CCTV-5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV-5,http://yfsl.vsd.gehua.net.cn/live/CCTV5HD_6000.m3u8?blog.ntnas.top
CCTV-5,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv5_2/index.m3u8
CCTV-5,http://yfsl.vsd.gehua.net.cn/live/CCTV5HD_6000.m3u8
CCTV-5,http://yfsl.vsd.gehua.net.cn/live/CCTV5HD_1200.m3u8

CCTV-5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8?
